,Skew Angle,Slope Angle,Center of Mass x,Center of Mass y,Aspect Ratio,Entropy,ForgerID,OriginalID,Genuine
431,-5,-6.207,89.06,218.4,2.418,0.3655,117,41,0
432,-3,-22.3,88,202.4,0.8257,0.3936,117,57,0
433,-3,-12.234,130.2,199.4,1.902,0.2241,118,36,0
434,-5,-18.14,101.25,229.2,2.344,0.202,118,42,0
435,-5,-18.98,97.56,264.8,1.7705,0.2197,118,55,0
436,-2,-12.28,97.1,208.6,1.907,0.2412,118,65,0
437,-4,-5.906,117,257.5,2.527,0.2352,119,19,0
438,-5,-0.9736,100.5,229.6,1.811,0.2654,119,24,0
439,-2,-2.035,97.5,225.5,1.849,0.2473,119,26,0
440,-1,0.3862,127.75,281.2,-2.281,0.3247,119,63,0
441,-4,-19.44,111.25,182,0.08716,0.2903,120,24,0
442,5,-19.16,86.06,289,1.595,0.3447,120,32,0
443,-1,28.08,99.2,260.2,0.3845,0.3691,120,34,0
444,-4,-25.22,112.06,238.4,1.948,0.1962,120,51,0
445,-5,-11.26,91.5,220.4,2.283,0.2703,120,55,0
446,5,-2.684,108.6,223.2,1.989,0.488,121,25,0
447,-5,-1.801,100.06,214,0.82,0.42,121,31,0
448,-1,0.7744,126.5,265.5,-1.525,0.3723,121,40,0
449,-2,8.13,112.6,221.2,1.221,0.4062,121,60,0
450,0,-3.2,96.56,180.4,1.734,0.2803,123,26,0
451,-5,-1.747,90.9,223.4,2.354,0.3386,123,36,0
452,-4,-9.17,97.8,282.8,2.807,0.1544,123,37,0
453,-4,-16.11,90.9,165,0.2319,0.2686,123,46,0
454,-5,-2.838,125.5,228,1.254,0.3335,124,17,0
455,-3,2.604,102.8,230.2,-0.4536,0.3962,124,38,0
456,5,18.44,121.56,258.8,-0.015465,0.486,124,54,0
457,-5,12.85,89.94,260.2,2.338,0.593,124,68,0
458,-5,-20.27,91.4,208.6,1.861,0.2079,125,22,0
459,-5,-11.15,100.7,184.1,2.133,0.281,125,26,0
460,4,-15.414,87.94,222.8,1.897,0.1965,125,50,0
461,-5,-26.5,106.2,257.2,1.943,0.1984,125,58,0
462,-4,-17.95,81.25,204.5,1.598,0.2279,125,59,0
463,-4,-7.367,119.06,184.4,2.146,0.2793,126,23,0
464,-5,-16.38,98.7,221.2,1.989,0.2047,126,28,0
465,4,-20.14,89.9,197.2,1.887,0.2444,126,50,0
466,-5,-24.58,98.56,231.6,1.928,0.2252,126,60,0
467,1,-19.17,130.1,266.8,1.76,0.0613,127,20,0
468,-4,-12.984,105.8,159,2.113,0.158,127,22,0
469,-5,-23.27,103.4,294.5,1.69,0.163,127,58,0
470,-5,-24.22,94.06,276.2,0.8667,0.195,127,66,0
471,-3,-26.72,95.44,212.5,1.549,0.1843,13,13,1
472,-4,-8.99,131.6,262.8,1.448,0.2286,17,17,1
473,-4,-13.98,98,286.5,2.418,0.1431,18,18,1
474,-5,-10.41,81.5,216.4,2.514,0.1289,19,19,1
475,-2,-7.984,134.1,252,1.935,0.1461,20,20,1
476,-2,1.834,108.2,188.5,2.082,0.4202,201,35,0
477,-5,5.88,117.7,186.8,-0.358,0.4556,201,43,0
478,-4,-1.174,105.94,137,2.53,0.312,201,62,0
479,-5,-12.42,98.4,249.6,2.375,0.1664,202,18,0
480,-4,-24.53,117.56,228.1,1.568,0.2289,202,53,0
481,-5,-16.67,114.5,204.4,2.215,0.346,202,55,0
482,-1,-25.12,84.7,171.5,1.97,0.1776,203,13,0
483,-1,-5.477,156.9,218.8,2.318,0.0731,203,23,0
484,-1,-45.44,108.75,205.2,0.3384,0.182,203,29,0
485,1,0.4788,99.1,246.9,-1.841,0.5093,203,33,0
486,-1,-27.56,107.5,180.5,1.74,0.10443,203,64,0
487,-2,-15.07,93.75,205.1,-0.1333,0.4197,204,13,0
488,-5,-11.28,97.75,245.1,2.145,0.1763,204,21,0
489,-4,-27.89,98.94,211,0.701,0.4087,204,42,0
490,-3,8.58,92.25,260.5,1.836,0.297,204,48,0
491,-2,-9.37,86.3,226.2,1.462,0.3074,204,50,0
492,-5,-13.24,94.25,226.5,2.006,0.1785,205,28,0
493,5,-17.31,102.75,250.8,0.9536,0.537,205,33,0
494,-4,-23.72,123.25,219.2,0.805,0.504,205,45,0
495,4,-31.14,93.6,252,1.161,0.182,205,67,0
496,-4,-23.11,108.94,151.6,0.4226,0.2108,206,49,0
497,-3,12.336,118.4,252.6,1.484,0.591,206,61,0
498,-5,-8.086,97.9,220.8,0.974,0.35,206,65,0
499,-4,-6.73,107.5,190.5,2.268,0.2512,207,52,0
500,-2,-10.91,134.1,216.4,2.408,0.1362,207,53,0
501,-3,-2.527,143.5,259.8,1.975,0.294,207,54,0
502,-5,-13.48,111.1,246,2.469,0.2085,208,22,0
503,-5,-9.26,106.56,257,2.371,0.3271,208,37,0
504,-1,-14.695,126.06,254.1,2.404,0.3364,208,54,0
505,1,1.578,110.44,180.4,1.881,0.261,208,57,0
506,-4,-18.36,90.06,254.5,2.393,0.1971,21,21,1
507,-1,-24.81,112.3,210.9,1.841,0.2343,210,49,0
508,-5,-10.234,95.9,201.8,2.527,0.4326,210,52,0
509,-4,-6.668,80.6,201.2,1.984,0.2922,210,57,0
510,-2,-9.61,90.94,254.5,2.518,0.287,211,17,0
511,-3,-16.84,75.8,213.8,2.508,0.1458,211,21,0
512,0,-22.33,106.2,222.9,0.8613,0.3042,211,43,0
513,0,-71.56,103.2,236.2,0.01036,0.4397,211,44,0
514,-5,15.805,97.8,251.8,0.82,0.3445,211,66,0
515,-5,0.4287,98.06,284,-2.047,0.3657,212,27,0
516,-4,-22.05,103.25,221.2,2.393,0.1681,212,28,0
517,-1,-26.48,81.7,279.8,1.54,0.2208,212,47,0
518,-3,-3.879,106.06,254.8,1.513,0.2216,212,66,0
519,-4,-35.4,71.9,216.2,1.321,0.10693,212,67,0
520,1,-12.05,128.8,200.6,1.61,0.2163,213,20,0
521,-5,-71.94,105.56,215.9,0.1443,0.412,213,30,0
522,0,-22.44,105,227.4,0.795,0.587,213,33,0
523,4,-21.97,97.44,176,2.373,0.3093,213,38,0
524,-5,-16.44,77.9,246.5,2.219,0.1486,214,22,0
525,-5,-6.26,93.06,246.8,1.782,0.205,214,37,0
526,-3,-31.94,108.75,290,1.267,0.2317,214,54,0
527,-5,-16.64,103.7,267.8,1.47,0.2388,22,22,1
528,-2,-10.78,102.56,187.9,2.066,0.1996,23,23,1
529,-3,0.3538,100.25,159.6,-2.492,0.3225,24,24,1
530,-5,0.4214,113.6,266,-2.092,0.6987,25,25,1
531,-5,-7.766,94.44,203.4,1.692,0.526,26,26,1
532,-5,-21.8,93.3,219.5,1.947,0.2198,27,27,1
533,-5,-17.23,91.06,261.2,2.445,0.1914,28,28,1
534,-1,-11.8,104.94,224.2,1.975,0.3345,29,29,1
535,-4,0,68.1,241,1.077,0.442,30,30,1
536,-5,-12.67,89.9,227.4,1.482,0.4856,31,31,1
537,-4,-9.33,82,263.5,2.158,0.4602,32,32,1
538,2,16.19,115.44,213.8,0.3196,0.564,33,33,1
539,-4,-16.2,95.2,229.2,2.4,0.318,34,34,1
540,1,15.18,114.3,190.5,2.219,0.3682,35,35,1
541,-5,-19.03,83.06,223.5,2.363,0.3354,36,36,1
542,-4,-15.19,94.4,257.2,2.223,0.3665,37,37,1
543,-5,-18.56,101.9,241.6,1.344,0.3372,38,38,1
544,-1,0.3508,103.25,228.8,-2.5,0.4734,39,39,1
545,-5,15.97,114.2,246.4,1.459,0.3572,40,40,1
546,2,0.576,100.7,272,-2.574,0.3716,41,41,1
547,-5,-24.58,107.8,216.5,2.186,0.1368,42,42,1
548,-3,-23.55,104.06,184.6,1.558,0.3892,43,43,1
549,5,-6.766,115.94,214,2.47,0.3865,44,44,1
550,-1,-25.17,106.5,214.4,1.113,0.326,45,45,1
551,-4,-8.13,103.3,177.2,0.0359,0.4634,46,46,1
552,-5,-11.22,87.9,233.5,1.917,0.2368,47,47,1
553,-1,-1.811,94.4,253,1.803,0.291,48,48,1
554,-1,-22.36,110,160.1,1.82,0.1353,49,49,1
555,-5,-21.22,66.3,202.4,2.271,0.1478,50,50,1
556,-1,-29.5,96.56,237,1.768,0.0538,51,51,1
557,-3,-11.5,99,197.4,1.192,0.2856,52,52,1
558,-3,-13.95,125.5,242.4,0.793,0.2085,53,53,1
559,0,-8.58,119.4,264,2.482,0.542,54,54,1
560,-4,-10.195,104.7,203.4,2.281,0.4446,55,55,1
561,-2,-20,111.06,252.4,2.508,0.3015,56,56,1
562,0,14.39,119.25,163.6,2.564,0.3337,57,57,1
563,-4,-26.92,104.1,263,1.3125,0.2625,58,58,1
564,-5,-18.81,87.2,154.6,2.107,0.1737,59,59,1
565,-5,-24.64,95.2,177.5,2.18,0.10834,60,60,1
566,1,6.875,132.4,219.2,0.7266,0.4326,61,61,1
567,2,-21.36,97.25,157.8,2.5,0.06525,62,62,1
568,0,-15.836,107.5,269.5,1.446,0.1589,63,63,1
569,-5,-18.89,99.75,196.4,2.371,0.184,64,64,1
570,3,-23.98,111.75,152.5,1.282,0.2062,65,65,1
571,-5,-16.62,123.94,283.8,2.37,0.2893,66,66,1
572,-3,-29.4,83.5,202.6,1.658,0.131,67,67,1
573,-4,-2.08,122.4,274.2,1.846,0.6006,68,68,1
574,-2,-29.38,107.25,210.4,1.114,0.1525,69,69,1
575,-5,-16.84,117.3,243.8,1.959,0.1793,101,20,0
576,-4,-17.08,95.5,236.2,2.38,0.3403,101,27,0
577,-3,-15.2,83.25,239.8,2.36,0.3416,101,38,0
578,-1,-37.8,109.44,253.8,0.6943,0.355,101,66,0
579,1,3.691,109,186.4,-0.3196,0.3372,102,24,0
580,-5,-30.78,113.25,178.8,0.2461,0.362,102,39,0
581,1,-13.58,115.06,262.5,2.135,0.542,102,54,0
582,-5,-37.25,115.2,207,0.364,0.3398,102,61,0
583,-2,-23.2,93.56,213.8,1.893,0.298,103,31,0
584,-5,-10.22,109.3,238.2,2.49,0.2644,103,34,0
585,3,4.05,102.9,200.2,2.486,0.3486,103,35,0
586,-2,23.31,135.4,260,1.547,0.3228,103,44,0
587,-2,-6.26,108.6,230,2.01,0.2198,104,29,0
588,-4,-9.016,83.75,248.6,2.36,0.2307,104,51,0
589,-4,-14.586,102.1,213.4,2.53,0.1606,104,59,0
590,-5,-14.51,109.1,250.1,1.665,0.1537,104,63,0
591,-5,-18.03,105.75,232.9,2,0.298,105,20,0
592,-4,-23.39,100.75,252.2,1.139,0.3481,105,41,0
593,-5,-17.42,68.4,303.8,2.525,0.2023,105,56,0
594,-3,-13.6,101.44,214.9,2.227,0.2375,105,64,0
595,-4,-16.72,105.2,197.6,2.338,0.1461,106,18,0
596,-4,-3.219,92.8,240.6,2.107,0.256,106,48,0
597,1,-9.2,110.1,205.4,1.677,0.2004,106,52,0
598,4,-19.48,106.25,174.1,1.571,0.2283,106,69,0
599,3,-10.68,91.5,233.8,2.541,0.2306,107,17,0
600,-5,-16.61,103.44,191.6,2.271,0.2074,107,42,0
601,-5,-16.83,107.56,169.4,1.99,0.2417,107,46,0
602,2,-61.88,114.4,234.4,0.3179,0.2123,107,53,0
603,3,-2.447,96.44,234.9,0.603,0.396,108,39,0
604,-5,-19.31,107.4,189.1,2.082,0.2147,108,46,0
605,0,-9.12,99.5,266.5,0.835,0.2219,108,63,0
606,-5,-8.766,106.9,206.1,2.293,0.2462,108,69,0
607,-5,-9.13,97.9,216,2.316,0.38,109,30,0
608,0,33.88,124.7,238.9,0.3845,0.37,109,36,0
609,-4,-6.668,113.4,191.9,1.266,0.2314,109,52,0
610,-2,-17.97,117.75,272,1.874,0.2245,109,58,0
611,3,-18.44,102.75,163.5,0.01563,0.2134,109,62,0
612,-5,-13.46,122.8,182.8,2.527,0.217,110,21,0
613,-3,-17.44,103.8,233.2,1.503,0.2039,110,34,0
614,-2,-22.23,109.1,195.9,1.174,0.1018,110,58,0
615,-1,-10.484,94.9,217.1,2.05,0.3132,111,43,0
616,2,50.72,117.1,227.4,-0.1406,0.2327,111,45,0
617,-5,-1.714,131.9,209.4,2.4,0.1941,111,60,0
618,-4,-1.177,113.25,208.4,2.258,0.2627,111,69,0
619,-5,-7.426,113.25,245.9,1.811,0.213,112,18,0
620,-3,-12.69,92.1,274.5,2.188,0.439,112,32,0
621,3,-0.4983,99.7,238.6,0.59,0.5034,112,33,0
622,-5,0.6294,80.6,203.4,-1.4,0.3496,112,44,0
623,1,9.695,113.25,243.6,0.798,0.4214,112,61,0
624,-4,-25.33,102.5,199.4,1.82,0.2693,113,13,0
625,0,2.49,113,208.8,2.135,0.3508,113,39,0
626,4,-22.25,100.75,263,1.814,0.1968,113,47,0
627,1,4.164,109.06,262.8,1.339,0.3984,113,68,0
628,-2,-36.88,98.4,214,-0.0204,0.449,114,30,0
629,2,32.16,111.56,247.8,0.541,0.4841,114,37,0
630,-3,0.532,104.75,246.4,-1.656,0.4014,114,40,0
631,-5,-7.125,86.2,210.2,0.04102,0.2725,114,47,0
632,-2,-10.04,100.94,207.5,1.626,0.266,114,49,0
633,-1,-10.22,96.6,212.8,2.502,0.11633,115,19,0
634,5,-1.364,108.9,241.4,0.4307,0.2773,115,29,0
635,2,12.836,106,202.6,2.205,0.2773,115,35,0
636,-5,-41.6,107.25,220,0.641,0.1719,115,53,0
637,-5,-16.36,115.7,241.1,2.236,0.364,115,56,0
638,-5,-46.1,128.8,249.6,0.2666,0.2194,116,19,0
639,-5,0,120.9,256.5,-2.291,0.4114,116,25,0
640,-4,-3.576,98.56,247.9,2.297,0.2722,116,41,0
641,-5,0.7886,106.75,233.8,-1.142,0.4197,116,45,0
642,-1,15.37,101.56,190.1,1.819,0.4756,116,62,0
643,-5,-14.305,110.4,201.1,2.266,0.2305,117,20,0
644,-5,-47.06,93.8,259,0.6978,0.356,117,32,0
645,-3,-9.51,84.44,197.9,2.05,0.381,117,41,0
646,-2,-2.63,94,181.6,-1.459,0.3784,117,57,0
647,-2,-13.84,126.25,215.2,1.801,0.2365,118,36,0
648,-2,-17.2,115.56,223.5,2.021,0.1776,118,42,0
649,-2,-16.98,85.4,229.1,2.303,0.3257,118,55,0
650,-2,-5.35,117.9,213.4,2.518,0.3096,118,65,0
651,-5,-11.336,106.1,300.5,2.547,0.1948,119,19,0
652,-5,0.8184,133,171.6,-1.077,0.3171,119,24,0
653,-3,-17.2,97.5,219.6,2.111,0.1943,119,26,0
654,-3,1.654,133.5,261.8,-1.45,0.335,119,63,0
655,-5,-13.36,116.75,200.8,2.148,0.2585,120,24,0
656,-5,-20.22,87.8,278.2,1.86,0.3472,120,32,0
657,-5,5.316,89.75,263.8,2.37,0.3987,120,34,0
658,-5,-15.336,113.2,259.8,1.598,0.1893,120,51,0
659,0,-13.3,97.56,231.5,2.223,0.3499,120,55,0
660,-1,1.322,101.44,236,-0.6665,0.579,121,25,0
661,-3,0.7666,99.9,215.8,1.541,0.472,121,31,0
662,5,-36.88,119.4,248.6,-0.02061,0.326,121,40,0
663,-5,-8.33,98.9,206.6,-0.2102,0.3513,121,60,0
664,5,-12.15,112.7,197.9,1.954,0.2,123,26,0
665,0,-32.28,112.4,240.2,0.0969,0.3477,123,36,0
666,-1,-37.7,89.4,260,1.037,0.2563,123,37,0
667,-5,-26.27,102.06,229.4,1.583,0.243,123,46,0
668,4,-4.676,132.8,252.5,0.828,0.3196,124,17,0
669,-5,-9.25,106.8,239.4,2.205,0.365,124,38,0
670,4,1.548,117.1,250.1,-0.7666,0.5376,124,54,0
671,-3,9.09,99.4,275.8,1.697,0.538,124,68,0
672,-5,-23.39,85.7,224.9,1.708,0.2484,125,22,0
673,2,-17.14,98.25,176.9,1.364,0.2341,125,26,0
674,-5,-16.58,91.94,198.2,2.445,0.1375,125,50,0
675,-1,-14.77,98.9,255.8,2.158,0.1978,125,58,0
676,-3,-8.195,83.25,187.6,1.894,0.2152,125,59,0
677,-5,-17.8,122.6,204.6,2.035,0.2135,126,23,0
678,0,-20.45,84.2,241,2.158,0.1367,126,28,0
679,-5,-15.51,86.75,202.2,2.385,0.2189,126,50,0
680,-4,-16.2,84.06,204.1,2.06,0.1442,126,60,0
681,-4,-23.56,102.1,213.1,2.22,0.17,127,20,0
682,-5,-7.46,107.06,175.2,2.479,0.202,127,22,0
683,-5,-29.95,112.2,295.8,1.586,0.1891,127,58,0
684,-2,-14.46,107.1,309.5,2.299,0.1808,127,66,0
685,-4,-18.33,89.4,217.1,2.357,0.2106,13,13,1
686,-3,-14.01,101,292,2.467,0.0897,18,18,1
687,0,-11.82,90.44,208.2,2.535,0.0953,19,19,1
688,-2,-17.08,129.4,251.6,1.554,0.1326,20,20,1
689,-5,-36.88,110.3,194.1,-0.02061,0.401,201,35,0
690,-5,0.8594,115.4,202.2,-1.031,0.4197,201,43,0
691,-5,-14.96,100.94,154.2,2.092,0.2162,201,62,0
692,-4,-18.44,93.2,267,2.297,0.1439,202,18,0
693,-5,-42.1,110.75,227.8,0.591,0.2474,202,53,0
694,2,-24.17,99.94,195.4,1.616,0.344,202,55,0
695,-5,-23.38,98.44,199,1.815,0.2057,203,13,0
696,-4,-11.97,123.9,197.6,2.297,0.1292,203,23,0
697,-5,-10.766,120,234.1,2.482,0.1644,203,29,0
698,1,2.291,107.9,245.1,-0.3845,0.4988,203,33,0
699,0,-18.16,102.7,200.2,2.475,0.1215,203,64,0
700,-1,8.58,96,241.4,0.646,0.2747,204,13,0
701,-4,-11.055,93.75,231.9,2.197,0.175,204,21,0
702,-5,-30.97,103.06,191.8,0.02563,0.4243,204,42,0
703,1,4.96,100.44,245.9,1.85,0.3123,204,48,0
704,-5,-13.34,94.1,201.4,1.317,0.27,204,50,0
705,-4,-18.22,109.7,241.9,2.01,0.1516,205,28,0
706,0,-3.17,101.2,260.2,1.582,0.5625,205,33,0
707,-5,0.5254,114.75,226.9,-1.677,0.3687,205,45,0
708,-2,-10.45,97.2,237.1,1.195,0.1835,205,67,0
709,1,-22.6,105.5,150.6,1.077,0.1675,206,49,0
710,0,0.199,118.25,255.5,1.484,0.5537,206,61,0
711,-5,-11.16,96.75,222.1,2.186,0.353,206,65,0
712,-2,-17.95,104.2,181.2,1.852,0.1854,207,52,0
713,0,-14.04,132.6,196.1,2.842,0.11725,207,53,0
714,-5,-7.44,111.3,293.2,1.5,0.3843,207,54,0
715,-5,-11.9,117.06,210.1,2.373,0.1848,208,22,0
716,0,-11.055,104.94,229.4,1.794,0.429,208,37,0
717,-2,-5.668,135.2,258.8,2.066,0.2917,208,54,0
718,-5,-1.14,107.6,178.8,1.036,0.32,208,57,0
719,-5,-17.64,88.44,256,2.398,0.2434,21,21,1
720,-4,-25.88,118.25,168.9,1.601,0.03204,210,49,0
721,-5,-10.38,96.3,220.1,2.348,0.305,210,52,0
722,5,0.382,96.06,181,-0.7773,0.368,210,57,0
723,-5,-7.77,92.4,246.5,2.654,0.2856,211,17,0
724,-5,-16.73,75.7,240.8,2.404,0.1744,211,21,0
725,-3,-8.625,89.56,208.4,2.254,0.3962,211,43,0
726,2,-14.76,95.4,248.6,2.32,0.3477,211,44,0
727,-4,0.542,89.75,257.5,-1.643,0.3865,211,66,0
728,-4,-17.42,106.7,307.2,1.308,0.3723,212,27,0
729,-2,-16.98,86.56,251.5,2.502,0.1514,212,28,0
730,-4,-29.86,88,248.8,1.637,0.1665,212,47,0
731,-5,-33.25,85.7,260.2,1.202,0.1492,212,66,0
732,0,-28.12,76.75,270.5,1.41,0.0662,212,67,0
733,-5,-12.41,122.6,209.5,1.47,0.2905,213,20,0
734,-4,-23.2,108.56,177,0.0359,0.4475,213,30,0
735,1,4.29,110.1,221.2,-0.2051,0.5674,213,33,0
736,-5,0.5254,105,235.5,-1.677,0.4146,213,38,0
737,-5,-14.57,93,250,2.05,0.135,214,22,0
738,-3,-16.22,86.06,237.8,2.578,0.1338,214,37,0
739,-5,-19.62,105,265,1.61,0.2017,214,54,0
740,-5,-9.8,99.6,206.2,1.574,0.3071,22,22,1
741,-4,-10.9,114.7,178.6,1.643,0.196,23,23,1
742,-5,-17.25,103.7,157.8,2.146,0.233,24,24,1
743,-5,0.914,110.44,233.6,-0.969,0.7314,25,25,1
744,1,-7.367,115.06,186.1,1.37,0.3555,26,26,1
745,-5,-13.04,98.5,233.2,0.9077,0.3008,27,27,1
746,-3,-22.4,88.7,265.2,1.902,0.1826,28,28,1
747,-5,-30.23,102.94,206.2,0.8447,0.2625,29,29,1
748,-5,24.95,108.6,224.4,1.036,0.6836,30,30,1
749,-5,-13.78,100.9,227.4,2.479,0.4797,31,31,1
750,0,-4.496,101.8,264.8,2.066,0.446,32,32,1
751,1,13.57,114.2,231.4,1.196,0.6143,33,33,1
752,-4,-17.31,94.25,196.5,2.451,0.2216,34,34,1
753,1,13.78,105.5,212.6,2.186,0.3662,35,35,1
754,-5,-11.83,99.44,226.2,2.4,0.2803,36,36,1
755,-1,7.723,115.9,268.8,2.174,0.4026,37,37,1
756,-3,-36.06,108.25,238.5,0.641,0.3494,38,38,1
757,-5,0.3516,96.7,207.5,-2.494,0.465,39,39,1
758,-4,0.7134,123.56,237.6,-1.236,0.3682,40,40,1
759,-1,0.7,106.5,258.8,-2.557,0.4014,41,41,1
760,-5,-23.36,94,196.9,2.168,0.13,42,42,1
761,-2,-27.03,99.75,219,1.016,0.433,43,43,1
762,0,-4.156,116.8,204.4,1.773,0.371,44,44,1
763,-1,-28.98,118.56,221,0.713,0.3418,45,45,1
764,-5,-26.56,92.06,164.1,-0.010254,0.3723,46,46,1
765,-1,-6.914,87.7,221,1.912,0.2399,47,47,1
766,-4,5.332,105.9,236.6,1.172,0.255,48,48,1
767,-3,-12.234,128.2,207.8,1.8545,0.10095,49,49,1
768,-5,-20.67,77.75,204.6,1.995,0.1626,50,50,1
769,-2,-20.6,118.2,200.4,2.662,0.005764,51,51,1
770,-2,-20.34,100.9,194,1.369,0.2644,52,52,1
771,5,-31.42,121,211,0.8306,0.2126,53,53,1
772,-5,-3.752,113.25,249.8,2.201,0.6323,54,54,1
773,-4,-6.977,95.9,214,2.443,0.5366,55,55,1
774,-4,-21.39,97.94,277.2,2.395,0.2744,56,56,1
775,-2,0,105.2,172.8,-0.02083,0.3489,57,57,1
776,-5,-23.6,91.44,251.8,1.257,0.2637,58,58,1
777,-4,-21.1,98.1,150.6,2.244,0.2505,59,59,1
778,-5,-17.55,115.3,224,2.104,0.2556,60,60,1
779,-1,-7.305,130,232.4,1.407,0.5186,61,61,1
780,-2,-12.44,100.1,175.4,2.395,0.1576,62,62,1
781,2,-10.22,112.3,214.1,1.764,0.1993,63,63,1
782,-5,-21.27,108.9,180.5,2.49,0.183,64,64,1
783,-4,-17.58,92.75,132.1,1.412,0.344,65,65,1
784,1,-3.295,109.9,311.2,2.139,0.251,66,66,1
785,-3,-28.27,78.06,204.4,1.737,0.1964,67,67,1
786,1,0.4214,117.6,273.5,-2.104,0.617,68,68,1
787,-5,-31.33,102.06,213.1,1.062,0.167,69,69,1
788,-5,-13.25,103.8,279.2,1.677,0.2228,101,20,0
789,-5,-23.61,99.5,224.2,2.158,0.3462,101,27,0
790,-3,-36.56,105.75,235.5,0.3213,0.3447,101,38,0
791,-5,-26.8,97.44,189.9,1.5205,0.2113,101,66,0
792,-5,-7.297,117.44,184.4,2.523,0.195,102,24,0
793,-2,-26.56,108.8,207,-0.010254,0.4673,102,39,0
794,-1,-14.16,106.06,255.1,2.26,0.522,102,54,0
795,3,-14.66,107.9,216.6,0.6772,0.3953,102,61,0
796,-5,-25.58,94.6,251.1,1.328,0.3635,103,31,0
797,-4,-12.78,104.6,237.2,2.375,0.2477,103,34,0
798,1,-3.03,93.3,202.1,1.938,0.3792,103,35,0
799,-5,1.118,116.9,241,-1.0625,0.4473,103,44,0
800,-5,-10.14,114.44,221.1,1.274,0.2427,104,29,0
801,-5,-7.152,86.94,235.1,2.492,0.3066,104,51,0
802,5,-14.33,105.7,228,2.533,0.1475,104,59,0
803,-5,-1.53,109.7,234,1.746,0.1786,104,63,0
804,-4,-14.586,110.8,245.9,1.268,0.302,105,20,0
805,2,0.4912,88.06,244.6,-1.795,0.3684,105,41,0
806,-4,-20.33,98.7,209.8,1.011,0.277,105,56,0
807,-5,-15.3,98.75,234.2,2.457,0.315,105,64,0
808,-5,-16.08,111.2,214.5,1.815,0.2042,106,18,0
809,-5,-23.7,87.5,232.2,0.923,0.253,106,48,0
810,1,-12.234,106.06,190.2,1.702,0.2139,106,52,0
811,-5,-20.44,85.44,182.8,1.531,0.1942,106,69,0
812,-1,-2.39,95.4,248.4,2.37,0.24,107,17,0
813,-5,-22.11,95.8,232.8,2.46,0.1289,107,42,0
814,-5,-18.14,87.3,139.4,2.117,0.2272,107,46,0
815,-3,-16.33,116.44,227,1.016,0.1969,107,53,0
816,-1,1.771,94.5,199,-0.4973,0.4902,108,39,0
817,-5,-14.59,107.06,202.8,2.482,0.3423,108,46,0
818,-5,53.4,100.5,259.8,0.1333,0.268,108,63,0
819,4,-12.64,82.06,212.1,2.455,0.1807,108,69,0
820,-2,-32,107.8,177.2,0.0421,0.3303,109,30,0
821,-3,-9.836,119.9,255.8,0.7734,0.4314,109,36,0
822,-3,-11.82,112.2,178.6,0.2172,0.2559,109,52,0
823,-3,-40.62,110.75,247.5,0.8306,0.314,109,58,0
824,-4,-18.94,105.3,160.5,2.299,0.162,109,62,0
825,-5,-17.66,94.56,209.1,2.385,0.2114,110,21,0
826,-2,-8.97,100.8,245.6,1.948,0.2988,110,34,0
827,-5,-24.34,113.5,224.2,1.077,0.2264,110,58,0
828,-4,-1.169,98.2,233.9,2.566,0.4153,111,43,0
829,-4,-18.84,120.8,237.9,0.6494,0.3352,111,45,0
830,-5,-5.71,107.25,233.6,0.05127,0.2235,111,60,0
831,-5,-39.47,105.9,229.6,0.6772,0.4421,111,69,0
832,-3,-8.04,113.44,233.1,1.806,0.1736,112,18,0
833,0,-9.69,94.25,273.5,2.113,0.4028,112,32,0
834,-1,5.797,114,238.8,2.387,0.4714,112,33,0
835,-4,-6.34,93.56,184.6,0.09375,0.3037,112,44,0
836,-4,-1.8545,100.5,220.5,1.433,0.3875,112,61,0
837,-5,-25.31,93.94,275.5,1.8,0.4219,113,13,0
838,3,0.3516,84.4,221.5,-2.508,0.3413,113,39,0
839,-3,-10.59,88.94,240.8,2.441,0.2622,113,47,0
840,-2,-9.266,100.4,275,1.918,0.3196,113,68,0
841,-5,7.93,79.9,225.1,2.062,0.5044,114,30,0
842,0,-67.94,108.5,247.4,-0.1436,0.4395,114,37,0
843,-5,0,110.25,233.8,-0.02061,0.3774,114,40,0
844,-5,-3.035,89.2,229.9,2.041,0.298,114,47,0
845,-4,-13.39,98.5,178.9,0.541,0.2551,114,49,0
846,-4,-8.84,96.56,240,2.592,0.1312,115,19,0
847,-5,-16.4,108.44,256.2,1.593,0.213,115,29,0
848,4,-45,101.56,207.1,-0.01031,0.3132,115,35,0
849,-3,-40.5,108.06,200.5,0.6274,0.1617,115,53,0
850,-2,-22.2,114.8,261.5,0.6377,0.2893,115,56,0
851,-2,-45.88,129,241.5,0.1616,0.2751,116,19,0
852,-5,-2.936,111.44,260.5,2.4,0.49,116,25,0
853,0,-2.633,94.2,249.6,1.332,0.3093,116,41,0
854,-5,0.4583,105.5,239.4,-1.923,0.332,116,45,0
855,-1,11.47,91.8,176.4,1.812,0.2527,116,62,0
856,-5,-14.22,100.5,225.9,1.51,0.2795,117,20,0
857,-5,-17.73,84.9,264,2.164,0.3567,117,32,0
858,-1,-4.953,93.3,198.1,2.32,0.3862,117,41,0
859,-5,2.887,94.7,136.6,-1.831,0.3455,117,57,0
860,-3,-18.14,100.4,221.5,1.8,0.2534,118,36,0
861,-3,-14.31,113.94,208.1,1.221,0.1777,118,42,0
